mp,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,+/-,ts%,efg%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ortg,drtg,team,total,home,index_opp,mp_opp,mp_opp,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,+/-_opp,ts%_opp,efg%_opp,3par_opp,ftr_opp,orb%_opp,drb%_opp,trb%_opp,ast%_opp,stl%_opp,blk%_opp,tov%_opp,usg%_opp,ortg_opp,drtg_opp,team_opp,total_opp,home_opp,season,date,won
240.0,240.0,37.0,80.0,0.463,9.0,29.0,0.31,20.0,31.0,0.645,10.0,48.0,58.0,18.0,7.0,7.0,22.0,24.0,103.0,,0.55,0.519,0.363,0.388,25.0,85.7,60.4,48.6,6.7,14.3,19.0,100.0,99.1,93.3,LAC,103,0,1,240.0,240.0,33.0,94.0,0.351,9.0,45.0,0.2,22.0,26.0,0.846,8.0,30.0,38.0,23.0,13.0,5.0,10.0,24.0,97.0,,0.46,0.399,0.479,0.277,14.3,75.0,39.6,69.7,12.5,9.8,8.7,100.0,93.3,99.1,LAL,97,1,2023,2022-10-20,True
240.0,240.0,36.0,83.0,0.434,5.0,24.0,0.208,11.0,13.0,0.846,6.0,38.0,44.0,17.0,6.0,5.0,10.0,14.0,88.0,,0.496,0.464,0.289,0.157,12.8,84.4,47.8,47.2,6.5,11.9,10.1,100.0,95.1,97.3,PHI,88,1,0,240.0,240.0,34.0,84.0,0.405,13.0,42.0,0.31,9.0,14.0,0.643,7.0,41.0,48.0,24.0,4.0,6.0,12.0,16.0,90.0,,0.499,0.482,0.5,0.167,15.6,87.2,52.2,70.6,4.3,10.2,11.7,100.0,97.3,95.1,MIL,90,0,2023,2022-10-20,False
240.0,240.0,42.0,92.0,0.457,8.0,26.0,0.308,12.0,15.0,0.8,11.0,25.0,36.0,23.0,8.0,3.0,9.0,18.0,104.0,,0.527,0.5,0.283,0.163,26.2,67.6,45.6,54.8,8.7,6.5,8.4,100.0,113.2,120.8,MIA,104,1,0,240.0,240.0,41.0,79.0,0.519,14.0,33.0,0.424,15.0,15.0,1.0,12.0,31.0,43.0,17.0,4.0,11.0,19.0,23.0,111.0,,0.648,0.608,0.418,0.19,32.4,73.8,54.4,41.5,4.4,16.7,18.2,100.0,120.8,113.2,BOS,111,0,2023,2022-10-21,False
240.0,240.0,45.0,98.0,0.459,19.0,42.0,0.452,20.0,29.0,0.69,17.0,33.0,50.0,26.0,8.0,10.0,12.0,21.0,129.0,,0.582,0.556,0.429,0.296,34.7,71.7,52.6,57.8,7.8,17.2,9.8,100.0,125.2,118.4,MEM,129,0,1,240.0,240.0,44.0,93.0,0.473,16.0,35.0,0.457,18.0,30.0,0.6,13.0,32.0,45.0,18.0,4.0,6.0,14.0,22.0,122.0,,0.574,0.559,0.376,0.323,28.3,65.3,47.4,40.9,3.9,10.7,11.6,100.0,118.4,125.2,HOU,122,1,2023,2022-10-21,True
240.0,240.0,44.0,93.0,0.473,16.0,35.0,0.457,18.0,30.0,0.6,13.0,32.0,45.0,18.0,4.0,6.0,14.0,22.0,122.0,,0.574,0.559,0.376,0.323,28.3,65.3,47.4,40.9,3.9,10.7,11.6,100.0,118.4,125.2,HOU,122,1,0,240.0,240.0,45.0,98.0,0.459,19.0,42.0,0.452,20.0,29.0,0.69,17.0,33.0,50.0,26.0,8.0,10.0,12.0,21.0,129.0,,0.582,0.556,0.429,0.296,34.7,71.7,52.6,57.8,7.8,17.2,9.8,100.0,125.2,118.4,MEM,129,0,2023,2022-10-21,False
265.0,265.0,49.0,107.0,0.458,11.0,33.0,0.333,17.0,23.0,0.739,21.0,39.0,60.0,20.0,5.0,7.0,20.0,22.0,126.0,,0.538,0.509,0.308,0.215,37.5,67.2,52.6,40.8,4.5,11.5,14.6,100.0,112.7,118.1,MIN,126,1,0,265.0,265.0,49.0,111.0,0.441,20.0,50.0,0.4,14.0,21.0,0.667,19.0,35.0,54.0,39.0,11.0,8.0,13.0,23.0,132.0,,0.549,0.532,0.45,0.189,32.8,62.5,47.4,79.6,9.8,10.8,9.8,100.0,118.1,112.7,UTA,132,0,2023,2022-10-21,False
240.0,240.0,41.0,84.0,0.488,11.0,28.0,0.393,12.0,18.0,0.667,8.0,33.0,41.0,25.0,9.0,4.0,13.0,21.0,105.0,,0.571,0.554,0.333,0.214,20.5,71.7,48.2,61.0,9.6,8.9,12.4,100.0,112.5,116.8,TOR,105,0,1,240.0,240.0,38.0,80.0,0.475,13.0,35.0,0.371,20.0,29.0,0.69,13.0,31.0,44.0,26.0,3.0,13.0,13.0,19.0,109.0,,0.588,0.556,0.438,0.363,28.3,79.5,51.8,68.4,3.2,23.2,12.3,100.0,116.8,112.5,BRK,109,1,2023,2022-10-21,False
240.0,240.0,33.0,79.0,0.418,7.0,27.0,0.259,27.0,33.0,0.818,10.0,28.0,38.0,19.0,8.0,3.0,13.0,15.0,100.0,,0.535,0.462,0.342,0.418,22.7,84.8,49.4,57.6,8.5,5.6,12.2,100.0,106.3,108.5,CHI,100,0,1,240.0,240.0,41.0,80.0,0.513,10.0,26.0,0.385,10.0,11.0,0.909,5.0,34.0,39.0,26.0,8.0,8.0,16.0,22.0,102.0,,0.601,0.575,0.325,0.138,15.2,77.3,50.6,63.4,8.5,15.4,15.9,100.0,108.5,106.3,WAS,102,1,2023,2022-10-21,False
265.0,265.0,43.0,94.0,0.457,10.0,27.0,0.37,15.0,21.0,0.714,9.0,32.0,41.0,31.0,14.0,1.0,16.0,29.0,111.0,,0.538,0.511,0.287,0.223,20.5,71.1,46.1,72.1,13.5,1.9,13.4,100.0,107.0,109.0,PHO,111,0,1,265.0,265.0,36.0,82.0,0.439,10.0,29.0,0.345,31.0,36.0,0.861,13.0,35.0,48.0,14.0,8.0,5.0,18.0,19.0,113.0,,0.577,0.5,0.354,0.439,28.9,79.5,53.9,38.9,7.7,7.5,15.5,100.0,109.0,107.0,POR,113,1,2023,2022-10-21,False
265.0,265.0,36.0,82.0,0.439,10.0,29.0,0.345,31.0,36.0,0.861,13.0,35.0,48.0,14.0,8.0,5.0,18.0,19.0,113.0,,0.577,0.5,0.354,0.439,28.9,79.5,53.9,38.9,7.7,7.5,15.5,100.0,109.0,107.0,POR,113,1,0,265.0,265.0,43.0,94.0,0.457,10.0,27.0,0.37,15.0,21.0,0.714,9.0,32.0,41.0,31.0,14.0,1.0,16.0,29.0,111.0,,0.538,0.511,0.287,0.223,20.5,71.1,46.1,72.1,13.5,1.9,13.4,100.0,107.0,109.0,PHO,111,0,2023,2022-10-21,True
